SEVERITYCODE,INC_MONTH,INC_WEEK,INC_DAYOFWEEK,INC_HOUR,cluster_id,WEATHER_Other_Dangerous,WEATHER_Overcast,WEATHER_Raining,WEATHER_Snowing,WEATHER_Unknown,LIGHTCOND_Dark,LIGHTCOND_Dawn,LIGHTCOND_Dusk,LIGHTCOND_Unknown,ROADCOND_Other_Dangerous,ROADCOND_Unknown,ROADCOND_Wet,ADDRTYPE_Intersection
2,1,3,4,17,374,0,0,0,0,0,1,0,0,0,0,0,0,1
2,1,3,4,12,8,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,4,2,9,490,0,0,1,0,0,0,0,0,0,0,0,1,1
2,1,4,3,13,214,0,0,1,0,0,0,0,0,0,0,0,1,1
1,1,2,4,15,175,0,1,0,0,0,0,0,0,0,0,0,1,1
1,1,1,5,17,258,0,1,0,0,0,1,0,0,0,0,0,1,0
2,1,2,1,12,110,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,4,2,22,207,0,1,0,0,0,1,0,0,0,0,0,0,1
2,1,3,4,17,59,0,1,0,0,0,0,0,1,0,0,0,1,1
2,1,4,4,12,142,0,0,1,0,0,0,0,0,0,0,0,1,1
1,1,3,2,14,226,0,0,0,1,0,0,0,0,0,1,0,0,0
1,1,4,3,7,48,0,0,1,0,0,0,0,0,0,0,0,1,0
2,1,3,1,9,43,0,0,0,1,0,0,0,0,0,0,0,1,1
1,1,4,3,7,351,0,0,1,0,0,0,0,0,0,0,0,1,1
1,1,3,2,7,215,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,2,4,11,52,0,0,1,0,0,0,0,0,0,0,0,1,0
1,1,1,6,12,50,0,0,1,0,0,0,0,0,0,0,0,1,0
1,1,3,3,17,164,0,0,1,0,0,1,0,0,0,0,0,1,0
2,1,2,3,6,394,0,1,0,0,0,0,1,0,0,0,0,0,1
1,1,4,3,22,90,0,0,1,0,0,1,0,0,0,0,0,1,0
1,1,3,4,10,393,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,2,6,2,226,0,0,0,0,0,1,0,0,0,0,0,1,0
2,1,4,0,15,489,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,3,0,18,7,0,1,0,0,0,1,0,0,0,0,0,0,1
2,1,4,0,20,94,0,1,0,0,0,1,0,0,0,0,0,0,1
2,1,2,4,16,88,0,0,1,0,0,1,0,0,0,0,0,1,1
2,1,4,2,18,411,0,0,1,0,0,1,0,0,0,0,0,1,1
1,1,2,1,15,166,0,1,0,0,0,0,0,0,0,0,0,1,0
2,1,3,3,9,274,0,0,0,0,0,0,0,0,0,0,0,1,1
