SEVERITYCODE,X,Y,INC_YEAR,INC_MONTH,INC_WEEK,INC_DAYOFWEEK,INC_HOUR,cluster_id,WEATHER_Other_Dangerous,WEATHER_Overcast,WEATHER_Raining,WEATHER_Snowing,WEATHER_Unknown,LIGHTCOND_Dark,LIGHTCOND_Dawn,LIGHTCOND_Dusk,LIGHTCOND_Unknown,ROADCOND_Other_Dangerous,ROADCOND_Unknown,ROADCOND_Wet,ADDRTYPE_Intersection
2,-122.3956872,47.67802419,2017,5,20,6,16,264,0,0,0,0,0,0,0,0,0,0,0,0,1
2,-122.3283588,47.61369803,2018,4,17,4,21,300,0,0,0,0,0,1,0,0,0,0,0,0,0
1,-122.3167547,47.62311418,2018,7,29,0,15,14,0,0,0,0,0,0,0,0,0,0,0,0,1
1,-122.3234835,47.73405298,2018,1,4,6,20,449,0,1,0,0,0,1,0,0,0,0,0,0,1
2,-122.37616750000001,47.64244869,2018,8,31,4,11,187,0,0,0,0,0,0,0,0,0,0,0,0,1
1,-122.32008090000001,47.60521427,2018,5,20,2,13,24,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-122.32021090000002,47.62958005,2017,6,23,0,15,120,0,0,0,0,1,0,0,0,1,0,1,0,0
1,-122.32703159999998,47.59583676,2018,7,28,3,14,46,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-122.3735909,47.66643106,2017,5,19,2,15,444,0,0,0,0,0,0,0,0,0,0,0,0,1
1,-122.3460854,47.66249653,2018,2,6,0,18,420,0,0,1,0,0,1,0,0,0,0,0,1,0
1,-122.33215619999999,47.609406899999996,2018,2,6,1,22,52,0,1,0,0,0,1,0,0,0,0,0,0,0
2,-122.2823449,47.53704402,2017,3,11,3,16,131,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-122.2627774,47.52011701,2018,7,28,4,9,284,0,0,0,0,0,0,0,0,0,0,0,0,1
1,-122.3135196,47.60168756,2017,10,41,2,17,496,0,0,0,0,0,0,0,1,0,0,0,0,0
1,-122.3137311,47.57162762,2017,10,43,2,19,57,0,1,0,0,0,1,0,0,0,0,0,1,0
1,-122.3025726,47.58365748,2018,1,5,1,23,280,0,0,0,0,0,1,0,0,0,0,0,0,0
1,-122.34398159999999,47.62260732,2017,9,39,0,9,43,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-122.285452,47.54605841,2018,6,26,2,10,192,0,0,0,0,0,0,0,0,0,0,0,0,1
1,-122.3610966,47.67599488,2018,7,30,5,0,302,0,0,0,0,0,1,0,0,0,0,0,0,0
1,-122.3137639,47.56986598,2018,2,9,2,15,57,0,0,1,0,0,0,0,0,0,0,0,1,1
1,-122.3440137,47.70505031,2017,7,27,4,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-122.3208462,47.65751923,2017,5,20,3,6,240,0,0,0,0,0,0,0,0,0,0,0,0,1
1,-122.34667830000001,47.66500045,2017,12,52,3,8,420,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-122.302769,47.73383869,2017,9,38,1,21,196,0,0,1,0,0,1,0,0,0,0,0,0,0
2,-122.375403,47.52106403,2018,5,20,4,13,397,0,0,0,0,0,0,0,0,0,0,0,0,1
2,-122.3368649,47.60203256,2018,1,3,6,16,388,0,0,1,0,0,0,0,0,0,0,0,1,0
1,-122.30409750000001,47.64396127,2017,12,52,3,17,400,0,1,0,0,0,1,0,0,0,0,0,1,1
1,-122.32891310000001,47.61346582,2018,7,27,4,9,300,0,0,0,0,0,0,0,0,0,0,0,0,1
2,-122.34761599999999,47.61915389,2017,1,5,1,7,155,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-122.3324513,47.60726631,2018,8,32,5,0,486,0,0,0,0,1,1,0,0,0,0,1,0,1
1,-122.32798030000001,47.60321632,2017,8,33,3,17,142,0,0,0,0,0,0,0,0,0,0,0,0,0
